Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,Country-year,gdp_per_capita ($),Generation
0,23.0,0.0,3.0,1,246288,0.41,19.0,4672,3
0,24.0,0.0,0.0,0,270003,0.0,20.0,4387,4
0,24.0,0.0,1.0,0,182712,0.0,20.0,4387,2
0,24.0,0.0,2.0,0,394286,0.0,20.0,4387,0
0,24.0,0.0,3.0,0,236174,0.0,20.0,4387,3
0,24.0,0.0,4.0,0,233302,0.0,20.0,4387,5
0,24.0,0.0,5.0,0,61582,0.0,20.0,4387,5
0,24.0,1.0,0.0,0,283448,0.0,20.0,4387,4
0,24.0,1.0,1.0,0,174955,0.0,20.0,4387,2
0,24.0,1.0,2.0,0,374365,0.0,20.0,4387,0
0,24.0,1.0,3.0,0,253007,0.0,20.0,4387,3
0,24.0,1.0,4.0,0,234570,0.0,20.0,4387,5
0,24.0,1.0,5.0,0,47331,0.0,20.0,4387,5
0,25.0,1.0,4.0,20,241852,8.27,21.0,4359,5
0,25.0,1.0,2.0,20,371611,5.38,21.0,4359,2
0,25.0,1.0,1.0,9,179720,5.01,21.0,4359,2
0,25.0,1.0,5.0,2,50767,3.94,21.0,4359,5
0,25.0,1.0,0.0,10,279508,3.58,21.0,4359,4
0,25.0,0.0,1.0,6,183579,3.27,21.0,4359,2
0,25.0,0.0,5.0,2,64415,3.1,21.0,4359,5
0,25.0,0.0,2.0,12,394593,3.04,21.0,4359,2
0,25.0,0.0,4.0,7,241491,2.9,21.0,4359,5
0,25.0,0.0,0.0,6,263581,2.28,21.0,4359,4
0,25.0,0.0,3.0,2,223969,0.89,21.0,4359,3
0,25.0,1.0,3.0,0,240939,0.0,21.0,4359,3
1,0.0,0.0,0.0,0,7709,0.0,22.0,3850,2
1,0.0,0.0,1.0,0,6344,0.0,22.0,3850,0
1,0.0,0.0,2.0,0,6173,0.0,22.0,3850,5
1,0.0,0.0,3.0,0,7339,0.0,22.0,3850,2
1,0.0,0.0,4.0,0,3778,0.0,22.0,3850,1
1,0.0,0.0,5.0,0,949,0.0,22.0,3850,1
1,0.0,1.0,0.0,0,7667,0.0,22.0,3850,2
1,0.0,1.0,1.0,0,6194,0.0,22.0,3850,0
1,0.0,1.0,2.0,0,5970,0.0,22.0,3850,5
1,0.0,1.0,3.0,0,7304,0.0,22.0,3850,2
1,0.0,1.0,4.0,0,2723,0.0,22.0,3850,1
1,0.0,1.0,5.0,0,424,0.0,22.0,3850,1
1,1.0,0.0,0.0,0,7668,0.0,23.0,4740,2
1,1.0,0.0,1.0,0,6209,0.0,23.0,4740,0
1,1.0,0.0,2.0,0,6101,0.0,23.0,4740,5
1,1.0,0.0,3.0,0,6907,0.0,23.0,4740,2
1,1.0,0.0,4.0,0,3764,0.0,23.0,4740,1
1,1.0,0.0,5.0,0,1014,0.0,23.0,4740,1
1,1.0,1.0,0.0,0,7563,0.0,23.0,4740,2
1,1.0,1.0,1.0,0,6023,0.0,23.0,4740,0
1,1.0,1.0,2.0,0,5947,0.0,23.0,4740,5
1,1.0,1.0,3.0,0,6827,0.0,23.0,4740,2
1,1.0,1.0,4.0,0,2771,0.0,23.0,4740,1
1,1.0,1.0,5.0,0,476,0.0,23.0,4740,1
1,2.0,0.0,0.0,0,7583,0.0,24.0,5595,2
1,2.0,0.0,1.0,0,6101,0.0,24.0,5595,0
1,2.0,0.0,2.0,0,6059,0.0,24.0,5595,5
1,2.0,0.0,3.0,0,6623,0.0,24.0,5595,2
